sub	acq	val	
derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.95473	1.75124	12.0544	4.01165
derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.941531	1.92337	15.2107	4.50666
derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.963468	1.73197	11.8121	3.93983
derivatives/fsl/sub-10041/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.963329	1.87528	14.3574	4.30239
derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.959995	1.74961	11.7995	3.99138
derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.933772	1.85929	14.5791	4.35948
derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.974034	1.71981	11.1027	3.87987
derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.966715	1.83446	13.5189	4.18457
derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.98682	1.71553	10.7977	3.83483
derivatives/fsl/sub-10043/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.978011	1.82935	13.2562	4.13642
derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.946862	1.72349	11.9073	3.96869
derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.928704	1.85456	15.3336	4.36819
derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.960162	1.68454	11.3504	3.83884
derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.942951	1.85111	14.8947	4.30861
derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.965272	1.69173	11.5037	3.84126
derivatives/fsl/sub-10054/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.963017	1.79062	13.334	4.08631
derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.974339	1.77915	12.7065	4.02275
derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.949536	1.86629	15.3	4.32744
derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.982972	1.75382	12.3535	3.93652
derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.970109	1.8732	14.6792	4.2758
derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.993973	1.74681	11.8194	3.8886
derivatives/fsl/sub-10059/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.988407	1.83473	14.0394	4.11926
derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.944344	1.56859	10.4135	3.63004
derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.921532	1.65556	13.081	3.8959
derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.94395	1.55935	10.3478	3.61213
derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.934204	1.69991	13.6708	3.96049
derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.964871	1.54182	9.84285	3.52114
derivatives/fsl/sub-10069/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.956915	1.64708	12.2215	3.76804
derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.951211	1.58168	10.1392	3.63708
derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.942865	1.69832	12.7364	3.92602
derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.971665	1.56913	9.85439	3.55805
derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.954744	1.66891	12.1579	3.82217
derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.979097	1.56617	9.56348	3.53297
derivatives/fsl/sub-10074/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.969793	1.65612	11.6404	3.74993
derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.95113	1.66422	10.6886	3.81579
derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.939884	1.80105	13.6622	4.186
derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.963441	1.63798	10.2167	3.72337
derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.94871	1.76145	12.8745	4.05758
derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.973005	1.62709	9.98737	3.67452
derivatives/fsl/sub-10078/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.969943	1.73713	12.2179	3.93444
derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.95426	1.7568	12.1017	4.02653
derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.952228	1.88491	14.8389	4.3657
derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.979744	1.72548	11.2358	3.87754
derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.954367	1.86989	14.458	4.3179
derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.908475	1.77778	0.144482	3.78118
derivatives/fsl/sub-10080/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.984784	1.81912	13.2423	4.09049
derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.933674	1.65382	11.4653	3.84624
derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.939533	1.80953	14.0188	4.21002
derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.946466	1.63255	10.8889	3.76044
derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.955644	1.80791	13.6296	4.15288
derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.966862	1.66292	10.0908	3.7681
derivatives/fsl/sub-10085/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.974015	1.75865	12.691	3.97449
derivatives/fsl/sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.955119	1.73129	12.4467	3.96481
derivatives/fsl/sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.941657	1.85178	15.1788	4.31586
derivatives/fsl/sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.963442	1.69555	11.9243	3.85637
derivatives/fsl/sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.950773	1.85428	15.0677	4.29129
derivatives/fsl/sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.983877	1.68901	11.4549	3.78371
derivatives/fsl/sub-10094/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.978747	1.80247	13.6673	4.06815
derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.972368	1.76498	12.0198	3.99288
derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.96456	1.87612	14.6668	4.30138
derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.983021	1.74064	11.5457	3.90424
derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.980565	1.86144	14.0293	4.21113
derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.919218	1.79041	0.129848	3.82564
derivatives/fsl/sub-10108/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.991331	1.93169	14.7034	4.36167
derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.948731	1.82257	12.5063	4.20672
derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.931673	1.92626	15.3927	4.55002
derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.962144	1.78689	11.8554	4.07508
derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.953796	1.90289	14.7178	4.40772
derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.97005	1.77267	11.588	4.01686
derivatives/fsl/sub-10125/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.969841	1.8968	14.236	4.33743
derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.929007	1.58077	11.0871	3.70088
derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.926585	1.724	13.5588	4.04044
derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.940996	1.59784	10.5971	3.70022
derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.93616	1.7372	12.946	4.03848
derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.963668	1.58637	10.0258	3.61381
derivatives/fsl/sub-10130/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.943295	1.72735	12.5674	3.99147
derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.959397	1.76028	11.9873	4.01927
derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.939294	1.8575	14.8333	4.33728
derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.968441	1.72847	11.5567	3.91672
derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.947288	1.84499	14.6609	4.27745
derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.981324	1.72254	11.1747	3.86632
derivatives/fsl/sub-10136/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.983681	1.84433	13.2461	4.15694
derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.959719	1.71136	11.8746	3.903
derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.950373	1.82457	14.4755	4.21452
derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.976339	1.68647	11.2397	3.79818
derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.957554	1.82382	14.3516	4.18902
derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.99009	1.67858	10.7888	3.74315
derivatives/fsl/sub-10137/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.979178	1.79745	13.4819	4.05424
derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.950298	1.7086	11.7372	3.92329
derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.949042	1.82544	13.9749	4.2192
derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.958566	1.72754	11.5308	3.94254
derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.957059	1.82033	13.6853	4.1797
derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.869432	1.81066	0.135168	3.77651
derivatives/fsl/sub-10142/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.972498	1.8259	13.4254	4.14493
derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.968711	1.70441	10.6892	3.85798
derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.945223	1.78856	13.28	4.13628
derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.977497	1.68883	10.3482	3.79835
derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.955504	1.783	12.8139	4.08894
derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.789068	1.83301	0.127652	3.67351
derivatives/fsl/sub-10150/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.991549	1.77094	12.0634	3.9525
derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.952877	1.56917	10.3436	3.60825
derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.940271	1.68168	12.9378	3.89672
derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.967448	1.54464	9.64169	3.51952
derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.965199	1.65642	11.8618	3.76394
derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.982331	1.53652	9.34468	3.46665
derivatives/fsl/sub-10154/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.980511	1.65139	11.6871	3.71038
derivatives/fsl/sub-10166/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.979084	1.75807	11.7419	3.95663
derivatives/fsl/sub-10166/L1_task-sharedreward_model-1_type-act_acq-mb1me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.961791	1.84865	14.1632	4.23799
derivatives/fsl/sub-10166/L1_task-sharedreward_model-1_type-act_acq-mb3me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.922989	1.79906	0.150126	3.8504
derivatives/fsl/sub-10166/L1_task-sharedreward_model-1_type-act_acq-mb3me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.989616	1.85308	13.4803	4.16138
derivatives/fsl/sub-10166/L1_task-sharedreward_model-1_type-act_acq-mb6me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.928389	1.78094	0.14721	3.8223
derivatives/fsl/sub-10166/L1_task-sharedreward_model-1_type-act_acq-mb6me4_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
0.993981	1.89432	0.217397	4.22115
derivatives/fsl/sub-10185/L1_task-sharedreward_model-1_type-act_acq-mb1me1_sm-5_denoising-base_EstimateSmoothing.feat/smoothness-0mm.txt			
