subject,headcoil,acq,tedana_minus_base,fd_mean
10069,64,mb6me4,0.28122899999999995,0.1585419230463238
10074,64,mb6me4,-0.329358,0.0887393556521811
10074,64,mb6me4,-0.329358,0.0887393556521811
10074,64,mb6me4,-0.329358,0.0887393556521811
10074,64,mb6me4,-0.329358,0.0887393556521811
10078,64,mb6me4,-0.15591199999999994,
10080,64,mb6me4,0.013988999999999918,0.1904282731586253
10080,64,mb6me4,0.013988999999999918,0.1904282731586253
10080,64,mb6me4,0.013988999999999918,0.1904282731586253
10080,64,mb6me4,0.013988999999999918,0.1904282731586253
10085,64,mb6me4,-0.560411,0.273411304060021
10085,64,mb6me4,-0.560411,0.273411304060021
10085,64,mb6me4,-0.560411,0.273411304060021
10085,64,mb6me4,-0.560411,0.273411304060021
10108,64,mb6me4,-0.68685,0.0755977772165996
10108,64,mb6me4,-0.68685,0.0755977772165996
10108,64,mb6me4,-0.68685,0.0755977772165996
10108,64,mb6me4,-0.68685,0.0755977772165996
10125,64,mb6me4,-0.13613300000000006,0.1268300501040871
10125,64,mb6me4,-0.13613300000000006,0.1268300501040871
10125,64,mb6me4,-0.13613300000000006,0.1268300501040871
10125,64,mb6me4,-0.13613300000000006,0.1268300501040871
10130,64,mb6me4,-0.160711,
10136,64,mb6me4,-0.5666900000000001,0.1323467991390886
10136,64,mb6me4,-0.5666900000000001,0.1323467991390886
10136,64,mb6me4,-0.5666900000000001,0.1323467991390886
10136,64,mb6me4,-0.5666900000000001,0.1323467991390886
10137,64,mb6me4,0.1632719,0.1429759705631496
10137,64,mb6me4,0.1632719,0.1429759705631496
10137,64,mb6me4,0.1632719,0.1429759705631496
10137,64,mb6me4,0.1632719,0.1429759705631496
10142,64,mb6me4,-0.34189600000000003,0.1028760807787112
10142,64,mb6me4,-0.34189600000000003,0.1028760807787112
10142,64,mb6me4,-0.34189600000000003,0.1028760807787112
10142,64,mb6me4,-0.34189600000000003,0.1028760807787112
10150,64,mb6me4,-0.25282899999999997,
10154,64,mb6me4,-0.23772900000000008,0.0767212070950079
10154,64,mb6me4,-0.23772900000000008,0.0767212070950079
10154,64,mb6me4,-0.23772900000000008,0.0767212070950079
10154,64,mb6me4,-0.23772900000000008,0.0767212070950079
10166,20,mb6me4,-0.370872,0.1324117472433545
10166,20,mb6me4,-0.370872,0.1324117472433545
10166,20,mb6me4,-0.370872,0.1324117472433545
10166,20,mb6me4,-0.370872,0.1324117472433545
10185,20,mb6me4,0.133466,
10186,64,mb6me4,-0.456681,0.1228206265117926
10186,64,mb6me4,-0.456681,0.1228206265117926
10186,64,mb6me4,-0.456681,0.1228206265117926
10186,64,mb6me4,-0.456681,0.1228206265117926
10188,64,mb6me4,-0.297155,0.0929819684961653
10188,64,mb6me4,-0.297155,0.0929819684961653
10188,64,mb6me4,-0.297155,0.0929819684961653
10188,64,mb6me4,-0.297155,0.0929819684961653
10203,20,mb6me4,-0.027027000000000023,0.0844726975905727
10203,20,mb6me4,-0.027027000000000023,0.0844726975905727
10203,20,mb6me4,-0.027027000000000023,0.0844726975905727
10203,20,mb6me4,-0.027027000000000023,0.0844726975905727
10221,64,mb6me4,-0.7899649999999999,
10223,20,mb6me4,0.1284267,
10234,20,mb6me4,0.074159,
10296,20,mb6me4,-0.269946,0.1574470269085456
10296,20,mb6me4,-0.269946,0.1574470269085456
10296,20,mb6me4,-0.269946,0.1574470269085456
10296,20,mb6me4,-0.269946,0.1574470269085456
10318,20,mb6me4,-0.331867,0.068220848356488
10318,20,mb6me4,-0.331867,0.068220848356488
10318,20,mb6me4,-0.331867,0.068220848356488
10318,20,mb6me4,-0.331867,0.068220848356488
10319,20,mb6me4,0.04111200000000001,0.1532420254345275
10319,20,mb6me4,0.04111200000000001,0.1532420254345275
10319,20,mb6me4,0.04111200000000001,0.1532420254345275
10319,20,mb6me4,0.04111200000000001,0.1532420254345275
10320,20,mb6me4,-0.317819,0.1149458203716953
10320,20,mb6me4,-0.317819,0.1149458203716953
10320,20,mb6me4,-0.317819,0.1149458203716953
10320,20,mb6me4,-0.317819,0.1149458203716953
10321,20,mb6me4,-0.94571,
10363,20,mb6me4,-0.34861700000000007,0.0895951045898306
10363,20,mb6me4,-0.34861700000000007,0.0895951045898306
10363,20,mb6me4,-0.34861700000000007,0.0895951045898306
10363,20,mb6me4,-0.34861700000000007,0.0895951045898306
10382,20,mb6me4,-0.518999,
10391,20,mb6me4,0.049233,0.0889746197314639
10391,20,mb6me4,0.049233,0.0889746197314639
10391,20,mb6me4,0.049233,0.0889746197314639
10391,20,mb6me4,0.049233,0.0889746197314639
10416,20,mb6me4,-0.027879000000000015,
10422,20,mb6me4,-0.534621,0.1280772352241975
10422,20,mb6me4,-0.534621,0.1280772352241975
10422,20,mb6me4,-0.534621,0.1280772352241975
10422,20,mb6me4,-0.534621,0.1280772352241975
10438,20,mb6me4,-0.148814,0.3059430576086734
10438,20,mb6me4,-0.148814,0.3059430576086734
10438,20,mb6me4,-0.148814,0.3059430576086734
10438,20,mb6me4,-0.148814,0.3059430576086734
12042,20,mb6me4,-0.3091050000000001,0.1002397292395644
12042,20,mb6me4,-0.3091050000000001,0.1002397292395644
12042,20,mb6me4,-0.3091050000000001,0.1002397292395644
12042,20,mb6me4,-0.3091050000000001,0.1002397292395644
